id,task_id,author,body,created_at
cee48679-b575-4a85-ae5c-37a180a864c2,e6853f93-50bf-424b-af3b-b6c59fab62fd,operator,"Deploy succeeded:
```
Deploy run: 2026-04-06T00:44:56.642Z

taskmaster:
  build:  built (12s) -> localhost:31500/tmpclaw/taskmaster:1775436265
  deploy: deployed
```",2026-04-06 00:45:28.106457+00
3f06eb21-72a7-42c1-90c1-e1b49da7464f,15457f73-f228-4e52-be09-b5c42f6dbc06,operator,"[Previous description]
Seed stub users (Alice/employee, Bob/manager, Carol/finance) with department and manager_id relationships",2026-04-05 22:01:56.385499+00
c6ef1150-b1f2-4b3b-b97c-402b550460bb,694be92f-2d90-4b06-b85a-bc8f2308a727,operator,"Deploy failed:
```
Deploy run: 2026-04-06T01:01:01.350Z

taskmaster:
  build:  built (216s) -> localhost:31500/tmpclaw/taskmaster:1775436886
  deploy: deploy failed: Helm deploy failed: Command failed: helm upgrade --install taskmaster /workspace/repo/taskmaster/chart --namespace tmpclaw --reset-values --set image.repository=localhost:31500/tmpclaw/taskmaster --set-string image.tag=1775436886 --set imagePullPolicy=Always --wait --timeout 120s --history-max 10
Error: UPGRADE FAILED: context deadline exceeded

```",2026-04-06 01:02:48.767509+00
c8612e8a-43ef-46a6-ae48-70d4af036548,d4e00451-5f43-4e7b-9c21-b1b4f8d9f3c5,operator,"Deploy succeeded:
```
No changed components detected — nothing to deploy.
```",2026-04-06 01:02:51.933527+00
0d900c53-c771-4a44-970e-c4939e4b580e,7fac6471-5a9c-42f3-994a-168f0a7475f4,operator,"[Previous description]
## Context

The architecture reviewer for task db0fcd31 noted that `handleClaimReceipts` (POST, ~lines 789-920) and `handleLineItemReceipts` (POST, ~lines 711-786) in `taskmaster/src/index.ts` share ~60 lines of nearly identical upload/validate/store logic.

## Deliverable

Extract a shared `processReceiptUpload(req, claimId, lineItemId, pool, logger)` helper that handles:
- Header validation (X-File-Name, Content-Type)
- MIME type and extension checks
- Body size and emptiness validation
- File write to RECEIPT_UPLOAD_DIR with UUID-based name
- DB INSERT into receipts table
- Response construction (201 with receipt object)

Both `handleClaimReceipts` and `handleLineItemReceipts` should call this shared helper after their own claim/line-item existence checks.

## Acceptance Criteria
1. Shared helper extracted, both handlers use it
2. No behavior change — all existing validations and responses preserved
3. `npm run build` passes
4. `npm test` passes (if tsx available)",2026-04-06 08:30:05.022422+00
3121f8e8-4880-44c0-b5e8-f670be083103,7fac6471-5a9c-42f3-994a-168f0a7475f4,operator,"Deploy succeeded:
```
Deploy run: 2026-04-06T08:46:27.585Z

taskmaster:
  build:  built (12s) -> localhost:31500/tmpclaw/taskmaster:1775465157
  deploy: deployed
```",2026-04-06 08:46:47.946988+00
3d6b615d-9d6e-40b2-93c5-3cebff7aed6b,15457f73-f228-4e52-be09-b5c42f6dbc06,operator,"Deploy succeeded:
```
Deploy run: 2026-04-05T22:08:19.212Z

taskmaster:
  build:  built (6s) -> localhost:31500/tmpclaw/taskmaster:1775426874
  deploy: deployed
```",2026-04-05 22:08:42.206282+00
3c062eab-bc05-460f-aed7-135ce9f66c86,ffa24c51-d8bd-48cf-8fcb-1361dfa94c4c,operator,"Deploy succeeded:
```
No changed components detected — nothing to deploy.
```",2026-04-06 01:13:07.482605+00
edaef77b-9293-4a45-bb1d-0ef8c39287d7,442c4bca-5c3f-4e50-b42f-32cdc3aec723,operator,"Deploy succeeded:
```
Deploy run: 2026-04-06T01:25:55.386Z

portal:
  build:  built (26s) -> localhost:31500/tmpclaw/portal:1775438706
  deploy: deployed
```",2026-04-06 01:35:22.083412+00
0c6bc6c3-6521-4082-9d35-8df667b58037,19a18345-38ca-4eb6-a392-0982a62604ac,operator,"Deploy succeeded:
```
Deploy run: 2026-04-06T00:07:48.841Z

assistant:
  build:  built (8s) -> localhost:31500/tmpclaw/assistant:1775434043
  deploy: deployed
```",2026-04-06 00:08:04.289585+00
