id,task_id,agent_name,assigned_at
2201efbc-3b34-4586-b9ec-d73da457a946,765e48bb-fb3f-447d-b0a1-f012e662c299,develop-765e48bb-fb3f-447d-b0a1-f012e662c299-1775448649318,2026-04-06 04:10:50.198033+00
bfc88ec3-ea73-44ff-bcf9-7b32e7b1fb98,c7894170-ab10-4a62-94da-576849c812a5,develop-c7894170-ab10-4a62-94da-576849c812a5-1775448650226,2026-04-06 04:10:51.198462+00
aaf808ab-d97b-4a12-9647-2891fe22ad7a,765e48bb-fb3f-447d-b0a1-f012e662c299,review-corr-765e48bb-fb3f-447d-b0a1-f012e662c299-1775464039,2026-04-06 08:27:19.721274+00
e3bdcf41-f3cc-49f7-8f4c-b805c7fd099f,13ea9b23-9b8e-4886-9dfb-7c0d19e5cd06,merge-13ea9b23-9b8e-4886-9dfb-7c0d19e5cd06-1775469065683,2026-04-06 09:51:10.096335+00
29276486-0612-4c24-b691-75fc07038364,542b7d17-1f4a-447f-9824-729200b2d34e,develop-542b7d17-1f4a-447f-9824-729200b2d34e-1775480887469,2026-04-06 13:08:07.579241+00
dabc0c88-cf39-46a0-a853-f11add21a7d0,dfc431bc-769f-49e3-83e2-323171a40f5b,develop-dfc431bc-769f-49e3-83e2-323171a40f5b-1775449003799,2026-04-06 04:16:43.813945+00
7f146791-89e4-464e-bfaf-fca6e5df04c3,f0cbff08-b0be-4081-81c1-65c59aedc56e,develop-f0cbff08-b0be-4081-81c1-65c59aedc56e-1775449003833,2026-04-06 04:16:44.199289+00
721df4a9-f0e4-4520-8e76-2cfa28705638,bf5424f6-adee-417f-b2a4-2558e9be9fc5,develop-bf5424f6-adee-417f-b2a4-2558e9be9fc5-1775464090288,2026-04-06 08:28:10.315906+00
d10d37d6-9328-468a-b2f8-49d16b15e7d9,7fac6471-5a9c-42f3-994a-168f0a7475f4,plan-7fac6471-5a9c-42f3-994a-168f0a7475f4-1775464105278,2026-04-06 08:28:25.284621+00
22795c34-8357-4e39-8c28-b2fa750e51f6,765e48bb-fb3f-447d-b0a1-f012e662c299,merge-765e48bb-fb3f-447d-b0a1-f012e662c299-1775464144031,2026-04-06 08:29:04.069977+00
3027933d-f621-4624-902b-d4ede93ec4bc,2431486f-adf4-494e-be1a-bb3d20d92745,merge-2431486f-adf4-494e-be1a-bb3d20d92745-1775469127491,2026-04-06 09:52:07.525602+00
d042d7cb-de11-4bdc-8f78-4e033ab9217c,dd55c687-780d-4904-aaf7-01c7860abd8a,develop-dd55c687-780d-4904-aaf7-01c7860abd8a-1775434894982,2026-04-06 00:21:35.009955+00
cc5b0ce8-bc75-45ce-b044-da097bc23d6d,dfc431bc-769f-49e3-83e2-323171a40f5b,develop-dfc431bc-769f-49e3-83e2-323171a40f5b-1775449342631,2026-04-06 04:22:22.663691+00
12c4fbec-9724-4b15-9f7b-11c57dbe353d,f0cbff08-b0be-4081-81c1-65c59aedc56e,develop-f0cbff08-b0be-4081-81c1-65c59aedc56e-1775449342686,2026-04-06 04:22:23.198373+00
